clip_uid,feature_key,source,instance,event_family,official_split,action_type,action_group,difficulty,dive_score,execution_quality,judge_count,judge_scores_json,start_frame,end_frame,frame_count,transition_frames_json,frame_labels_json,subactions_json,splash_path,splash_exists,analysis_role,source_role,judge_label_valid,judge_invalid_reason,judge_consensus_median,judge_sample_sd,judge_pairwise_abs,judge_official_aggregate,judge_aggregate_abs_error,disagreement_primary_eligible,disagreement_supplemental_eligible
01::140,5df57f868eaa8d076944,01,140,01,train,207b,2,3.6,48.6,4.5,7,"[4.5,4.5,4.5,4.5,4.5,4.5,4.5]",212811,212941,131,"[35,76]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""17"":""3.5 Soms.Pike"",""2"":""Back"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\140.pkl,True,fit,source_fit,True,valid,4.5,0.0,0.0,4.5,0.0,True,False
01::141,de775ab14f1c41863032,01,141,01,train,307c,3,3.4,84.15,8.250000000000002,7,"[8.5,8.5,8.5,9.0,8.5,8.5,8.5]",214454,214577,124,"[39,75]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\141.pkl,True,fit,source_fit,True,valid,8.5,0.1889822365046136,0.14285714285714285,8.5,0.24999999999999822,True,False
01::143,057a85db3ef69c3abf60,01,143,01,train,626c,6,3.3,66.0,6.666666666666668,7,"[7.0,6.5,6.5,7.0,6.5,7.5,5.5]",217477,217575,99,"[12,44]","[6,6,6,6,6,6,6,6,6,6,6,6,6,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""24"":""3 Soms.Tuck"",""36"":""Entry"",""6"":""Arm.Back""}",D:\code\papers\data\datasets\splash_data\01\143.pkl,True,fit,source_fit,True,valid,6.5,0.6267831705280087,0.7142857142857143,6.666666666666667,8.881784197001252e-16,True,False
01::145,95408c6b86e234e163f0,01,145,01,train,307c,3,3.4,37.95,3.720588235294118,7,"[4.0,4.0,3.5,4.0,3.5,3.0,4.0]",220520,220618,99,"[20,62]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\145.pkl,True,fit,source_fit,True,valid,4.0,0.3933978962347216,0.42857142857142855,3.8333333333333335,0.11274509803921529,True,False
01::146,742e48b0758dc3b033ab,01,146,01,train,307c,3,3.4,42.9,4.205882352941177,7,"[4.5,4.0,4.0,4.5,4.0,4.5,4.5]",221987,222090,104,"[27,63]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\146.pkl,True,fit,source_fit,True,valid,4.5,0.2672612419124244,0.2857142857142857,4.333333333333333,0.1274509803921564,True,False
01::148,d4e48ed4cfaae27c11a6,01,148,01,train,409c,4,4.1,96.35,7.833333333333334,7,"[8.0,7.5,7.0,8.5,8.0,8.0,7.5]",224844,224954,111,"[31,71]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""27"":""4.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\148.pkl,True,fit,source_fit,True,valid,8.0,0.4879500364742666,0.5714285714285714,7.833333333333333,8.881784197001252e-16,True,False
01::149,c8d39e55de8fd91e67f0,01,149,01,train,307c,3,3.4,85.8,8.411764705882353,7,"[8.5,9.0,8.5,9.0,8.5,8.5,9.0]",226725,226836,112,"[12,53]","[3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\149.pkl,True,fit,source_fit,True,valid,8.5,0.2672612419124244,0.2857142857142857,8.666666666666666,0.2549019607843128,True,False
01::150,93a888ebd23d06bede55,01,150,01,train,207c,2,3.3,79.2,8.000000000000002,7,"[7.5,8.0,8.0,8.0,7.5,8.0,8.0]",228301,228398,98,"[11,51]","[2,2,2,2,2,2,2,2,2,2,2,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""2"":""Back"",""25"":""3.5 Soms.Tuck"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\150.pkl,True,fit,source_fit,True,valid,8.0,0.24397501823713333,0.23809523809523808,8.0,1.7763568394002505e-15,True,False
01::151,b10a739934788bc3d446,01,151,01,train,307c,3,3.4,79.2,7.764705882352942,7,"[8.0,8.5,8.0,8.0,8.0,8.5,8.0]",229526,229625,100,"[19,59]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\151.pkl,True,fit,source_fit,True,valid,8.0,0.2439750182371333,0.23809523809523808,8.0,0.235294117647058,True,False
01::154,8380ec8a80b8aeea3b94,01,154,01,train,109c,1,3.7,99.9,9.0,7,"[9.5,9.0,9.0,9.0,8.0,9.0,9.0]",233224,233384,161,"[67,107]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""27"":""4.5 Soms.Tuck"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\154.pkl,True,fit,source_fit,True,valid,9.0,0.4498677054212186,0.42857142857142855,9.0,0.0,True,False
01::155,5848a0849c1da7614680,01,155,01,train,307c,3,3.4,89.1,8.735294117647058,7,"[9.0,9.0,8.5,9.0,9.0,9.0,9.0]",234495,234611,117,"[31,71]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\155.pkl,True,fit,source_fit,True,valid,9.0,0.1889822365046136,0.14285714285714285,9.0,0.264705882352942,True,False
01::156,549a28d93b3049d30b6a,01,156,01,train,207c,2,3.3,61.05,6.166666666666667,7,"[5.5,6.5,6.5,6.0,5.5,6.0,6.5]",235985,236109,125,"[31,72]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""2"":""Back"",""25"":""3.5 Soms.Tuck"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\156.pkl,True,fit,source_fit,True,valid,6.0,0.4498677054212186,0.5238095238095238,6.166666666666667,0.0,True,False
01::158,0cfc761c5f5df7bf1ab4,01,158,01,train,107b,1,3.0,61.5,6.833333333333333,7,"[7.0,7.0,6.5,7.0,6.5,6.5,7.0]",238866,239025,160,"[67,107]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""17"":""3.5 Soms.Pike"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\158.pkl,True,fit,source_fit,True,valid,7.0,0.2672612419124244,0.2857142857142857,6.833333333333333,0.0,True,False
01::159,cf66fd81492830b3ce1e,01,159,01,train,307c,3,3.4,66.0,6.470588235294118,7,"[7.0,6.5,6.5,7.0,7.0,6.5,6.0]",240348,240469,122,"[27,66]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\159.pkl,True,fit,source_fit,True,valid,6.5,0.37796447300922725,0.42857142857142855,6.666666666666667,0.1960784313725492,True,False
01::160,107a219eb5dd9328cb1e,01,160,01,train,307c,3,3.4,64.35,6.3088235294117645,7,"[6.5,6.5,6.5,6.5,6.5,4.5,7.0]",241767,241886,120,"[27,65]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\160.pkl,True,fit,source_fit,True,valid,6.5,0.809173593712687,0.7142857142857143,6.5,0.1911764705882355,True,False
01::163,9c88b130471194f807da,01,163,01,train,307c,3,3.4,74.25,7.279411764705883,7,"[7.5,8.0,7.5,7.0,7.5,8.0,7.5]",248381,248480,100,"[12,51]","[3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\163.pkl,True,fit,source_fit,True,valid,7.5,0.34503277967117707,0.38095238095238093,7.5,0.22058823529411686,True,False
01::165,5eb177cf139f65a43c09,01,165,01,train,307c,3,3.4,51.15,5.014705882352941,7,"[5.5,5.0,5.5,5.0,4.5,5.0,5.5]",251161,251284,124,"[31,71]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\165.pkl,True,fit,source_fit,True,valid,5.0,0.37796447300922725,0.42857142857142855,5.166666666666667,0.15196078431372584,True,False
01::166,5ebcd4b2e9fc20372439,01,166,01,train,5253b,5,3.2,73.6,7.666666666666665,7,"[8.0,7.5,8.0,8.0,7.5,7.5,7.5]",252535,252639,105,"[14,31,53]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""15"":""2.5 Soms.Pike"",""2"":""Back"",""31"":""1.5 Twists"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\166.pkl,True,fit,source_fit,True,valid,7.5,0.2672612419124244,0.2857142857142857,7.666666666666667,1.7763568394002505e-15,True,False
01::168,cf60b367c27a85ffec51,01,168,01,train,109c,1,3.7,94.35,8.499999999999998,7,"[8.5,8.5,8.5,8.5,9.0,8.5,8.5]",255412,255513,102,"[25,66]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""27"":""4.5 Soms.Tuck"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\168.pkl,True,fit,source_fit,True,valid,8.5,0.1889822365046136,0.14285714285714285,8.5,1.7763568394002505e-15,True,False
01::170,41d7da681c65635cd8b7,01,170,01,train,5255b,5,3.6,81.0,7.499999999999999,7,"[8.0,7.0,7.0,7.5,8.0,8.0,7.0]",258585,258675,91,"[14,35,54]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""15"":""2.5 Soms.Pike"",""2"":""Back"",""33"":""2.5 Twists"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\170.pkl,True,fit,source_fit,True,valid,7.5,0.5,0.5714285714285714,7.5,8.881784197001252e-16,True,False
01::172,e450a2104a9a84aa62d5,01,172,01,train,5255b,5,3.6,86.4,8.0,7,"[7.5,8.0,8.0,8.0,8.5,8.0,8.0]",261970,262073,104,"[16,36,54]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""15"":""2.5 Soms.Pike"",""2"":""Back"",""33"":""2.5 Twists"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\172.pkl,True,fit,source_fit,True,valid,8.0,0.28867513459481287,0.2857142857142857,8.0,0.0,True,False
01::174,0378bd9dcb8cf4426e86,01,174,01,train,207b,2,3.6,86.4,8.0,7,"[8.0,8.0,8.0,8.0,8.0,8.0,7.5]",264971,265087,117,"[35,76]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""17"":""3.5 Soms.Pike"",""2"":""Back"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\174.pkl,True,fit,source_fit,True,valid,8.0,0.1889822365046136,0.14285714285714285,8.0,0.0,True,False
01::175,64eb85dcef0a46ec07cd,01,175,01,train,5255b,5,3.6,84.6,7.833333333333332,7,"[8.0,8.0,8.0,8.0,7.5,7.0,7.5]",266804,266897,94,"[7,32,47]","[2,2,2,2,2,2,2,2,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""15"":""2.5 Soms.Pike"",""2"":""Back"",""33"":""2.5 Twists"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\175.pkl,True,fit,source_fit,True,valid,8.0,0.3933978962347216,0.42857142857142855,7.833333333333333,8.881784197001252e-16,True,False
01::176,6d97f6e1f7bef383b807,01,176,01,train,407c,4,3.2,72.0,7.499999999999999,7,"[8.0,7.5,7.5,8.0,7.0,7.0,7.5]",268239,268336,98,"[19,56]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\176.pkl,True,fit,source_fit,True,valid,7.5,0.408248290463863,0.47619047619047616,7.5,8.881784197001252e-16,True,False
01::179,29dd994e6b7cc43a8e07,01,179,01,train,307c,3,3.4,69.3,6.794117647058823,7,"[7.0,7.0,7.0,7.0,7.0,6.5,7.0]",272660,272740,81,"[3,42]","[3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\179.pkl,True,fit,source_fit,True,valid,7.0,0.1889822365046136,0.14285714285714285,7.0,0.20588235294117663,True,False
01::180,a5b02061c0fa3bea3e96,01,180,01,train,5255b,5,3.6,84.6,7.833333333333332,7,"[7.5,7.5,8.0,8.0,8.0,8.0,7.5]",274055,274170,116,"[35,58,75]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""15"":""2.5 Soms.Pike"",""2"":""Back"",""33"":""2.5 Twists"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\180.pkl,True,fit,source_fit,True,valid,8.0,0.2672612419124244,0.2857142857142857,7.833333333333333,8.881784197001252e-16,True,False
01::181,a98b36bc8bab2498148d,01,181,01,train,5156b,5,3.8,79.8,7.000000000000001,7,"[7.0,7.0,7.0,7.0,7.5,6.0,6.5]",275502,275652,151,"[65,71,91,103]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,15,15,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,15,15,15,15,15,15,15,15,15,15,15,15,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""15"":""2.5 Soms.Pike"",""34"":""3 Twists"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\181.pkl,True,fit,source_fit,True,valid,7.0,0.4755948656056709,0.5238095238095238,7.0,8.881784197001252e-16,True,False
01::183,149818b605061e0e4bb7,01,183,01,train,5255b,5,3.6,93.6,8.666666666666666,7,"[9.0,9.0,8.5,9.0,8.5,8.5,8.5]",278670,278788,119,"[43,69,86]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""15"":""2.5 Soms.Pike"",""2"":""Back"",""33"":""2.5 Twists"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\183.pkl,True,fit,source_fit,True,valid,8.5,0.2672612419124244,0.2857142857142857,8.666666666666666,0.0,True,False
01::184,15f1892bbd365c5d88cb,01,184,01,train,307c,3,3.4,72.6,7.117647058823529,7,"[7.5,7.0,7.5,7.0,8.0,8.0,7.0]",279932,280033,102,"[15,51]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\184.pkl,True,fit,source_fit,True,valid,7.5,0.4498677054212186,0.5238095238095238,7.333333333333333,0.21568627450980404,True,False
01::185,9a470acee4c40db22153,01,185,01,train,5255b,5,3.6,70.2,6.5,7,"[6.5,6.5,7.0,6.5,6.5,6.5,6.0]",281318,281415,98,"[8,30,48]","[2,2,2,2,2,2,2,2,2,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""15"":""2.5 Soms.Pike"",""2"":""Back"",""33"":""2.5 Twists"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\185.pkl,True,fit,source_fit,True,valid,6.5,0.28867513459481287,0.2857142857142857,6.5,0.0,True,False
